"trainer/global_step","bilstm_logging - _step","bilstm_logging - _step__MIN","bilstm_logging - _step__MAX","bilstm_logging - train_f1_score_epoch","bilstm_logging - train_f1_score_epoch__MIN","bilstm_logging - train_f1_score_epoch__MAX","salstm_logging - _step","salstm_logging - _step__MIN","salstm_logging - _step__MAX","salstm_logging - train_f1_score_epoch","salstm_logging - train_f1_score_epoch__MIN","salstm_logging - train_f1_score_epoch__MAX","lstm_logging - _step","lstm_logging - _step__MIN","lstm_logging - _step__MAX","lstm_logging - train_f1_score_epoch","lstm_logging - train_f1_score_epoch__MIN","lstm_logging - train_f1_score_epoch__MAX"
"1051","22","22","22","0.47444209456443787","0.47444209456443787","0.47444209456443787","22","22","22","0.4211277961730957","0.4211277961730957","0.4211277961730957","22","22","22","0.1977762132883072","0.1977762132883072","0.1977762132883072"
"2103","45","45","45","0.6804164052009583","0.6804164052009583","0.6804164052009583","45","45","45","0.5436765551567078","0.5436765551567078","0.5436765551567078","45","45","45","0.4592019021511078","0.4592019021511078","0.4592019021511078"
"3155","68","68","68","0.8009916543960571","0.8009916543960571","0.8009916543960571","68","68","68","0.6034688949584961","0.6034688949584961","0.6034688949584961","68","68","68","0.6201773285865784","0.6201773285865784","0.6201773285865784"
"4207","91","91","91","0.8719747066497803","0.8719747066497803","0.8719747066497803","91","91","91","0.6521062850952148","0.6521062850952148","0.6521062850952148","91","91","91","0.7455101609230042","0.7455101609230042","0.7455101609230042"
"5259","114","114","114","0.9086363911628723","0.9086363911628723","0.9086363911628723","114","114","114","0.6857084631919861","0.6857084631919861","0.6857084631919861","114","114","114","0.8276848196983337","0.8276848196983337","0.8276848196983337"
"6311","137","137","137","0.9313105344772339","0.9313105344772339","0.9313105344772339","137","137","137","0.7160480618476868","0.7160480618476868","0.7160480618476868","137","137","137","0.8814718127250671","0.8814718127250671","0.8814718127250671"
"7363","160","160","160","0.9458011984825134","0.9458011984825134","0.9458011984825134","160","160","160","0.7379118800163269","0.7379118800163269","0.7379118800163269","160","160","160","0.9140697121620178","0.9140697121620178","0.9140697121620178"
"8415","183","183","183","0.9543679356575012","0.9543679356575012","0.9543679356575012","183","183","183","0.7621362209320068","0.7621362209320068","0.7621362209320068","183","183","183","0.9344852566719055","0.9344852566719055","0.9344852566719055"
"9467","206","206","206","0.9610491394996643","0.9610491394996643","0.9610491394996643","206","206","206","0.7771449089050293","0.7771449089050293","0.7771449089050293","206","206","206","0.9486345052719116","0.9486345052719116","0.9486345052719116"
"10519","229","229","229","0.9665994048118591","0.9665994048118591","0.9665994048118591","229","229","229","0.7907360196113586","0.7907360196113586","0.7907360196113586","229","229","229","0.9575114846229553","0.9575114846229553","0.9575114846229553"
"11571","","","","","","","252","252","252","0.8052179217338562","0.8052179217338562","0.8052179217338562","252","252","252","0.9625810384750366","0.9625810384750366","0.9625810384750366"
"12623","","","","","","","275","275","275","0.8145562410354614","0.8145562410354614","0.8145562410354614","","","","","",""
"13675","","","","","","","298","298","298","0.8270288109779358","0.8270288109779358","0.8270288109779358","","","","","",""
"14727","","","","","","","321","321","321","0.8317870497703552","0.8317870497703552","0.8317870497703552","","","","","",""
"15779","","","","","","","344","344","344","0.8399092555046082","0.8399092555046082","0.8399092555046082","","","","","",""
